id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
92,complex-planes,AMD Ryzen 9 3900X,2048,4,42.7075,37.1931,15.4256,19.3252,42.0248,34.2422,41.2815,33.8711,3.0366347,3.0292938,9
93,complex-planes,AMD Ryzen 9 3900X,2048,5,43.0591,37.6281,16.1618,20.0077,42.1879,35.0302,41.6618,34.6574,3.538966,2.5566177,9
94,complex-planes,AMD Ryzen 9 3900X,2048,6,43.4384,38.1449,17.1912,20.7679,42.6962,35.8247,42.3601,35.6267,3.4845688,2.2936225,9
95,complex-planes,AMD Ryzen 9 3900X,2048,7,43.2251,38.2162,17.2343,21.0537,43.0609,35.862,42.3184,35.9017,3.157091,2.1680386,9
96,complex-planes,AMD Ryzen 9 3900X,2048,8,43.2216,38.101,17.3759,21.2976,42.4982,35.8479,42.5545,36.0952,3.3353992,1.993901,9
97,complex-planes,AMD Ryzen 9 3900X,2048,9,43.2195,38.1795,17.3448,21.1045,42.6076,35.8121,42.528,35.8616,2.9727957,1.2540209,9
98,complex-planes,AMD Ryzen 9 3900X,2048,10,43.1464,38.0204,17.3088,21.0862,42.6158,35.8076,42.4293,35.7387,3.0094512,1.3899132,9
99,complex-planes,Intel Core i5-7500,512,0,235.1497,194.4542,79.3972,89.4039,234.7936,201.155,225.2283,189.0423,3.53759,3.988319,10
100,complex-planes,Intel Core i5-7500,512,1,204.9218,199.724,79.6806,93.6426,220.5738,197.1356,220.7252,185.1962,4.252254,3.8979387,10
101,complex-planes,Intel Core i5-7500,512,2,235.8407,162.7644,79.1039,94.3886,236.7789,195.8024,210.9326,186.9382,3.8888972,4.1782994,10
102,complex-planes,Intel Core i5-7500,512,3,236.5738,191.0161,79.1258,100.9573,227.3156,182.2237,228.1147,190.5426,3.3716624,3.9941478,10
103,complex-planes,Intel Core i5-7500,512,4,233.3739,194.6139,81.2275,102.248,216.7984,195.5788,232.6588,196.0658,3.6911106,3.8595202,10
104,complex-planes,Intel Core i5-7500,512,5,238.0658,199.1127,87.6716,107.7052,229.1675,202.0055,229.3631,201.6259,3.866387,3.6365964,10
105,complex-planes,Intel Core i5-7500,512,6,130.8818,191.8988,91.5089,111.0762,234.6696,204.9046,229.6427,147.0484,3.5172896,3.223165,10
106,complex-planes,Intel Core i5-7500,512,7,240.8414,209.198,89.9758,112.396,240.4742,205.9541,238.5234,206.0348,3.6402764,2.8819158,10
107,complex-planes,Intel Core i5-7500,512,8,239.0612,210.3319,88.8715,114.1821,242.7497,205.3354,240.6455,205.1375,3.3502204,3.0342288,10
108,complex-planes,Intel Core i5-7500,512,9,240.3315,211.5923,91.0365,111.5641,235.4055,203.9497,238.4279,206.0203,3.0466352,2.5666323,10
109,complex-planes,Intel Core i5-7500,512,10,238.6276,204.2042,93.821,114.8129,229.2779,207.49,233.7574,206.6714,3.3194952,2.3587346,10
110,complex-planes,Intel Core i5-7500,1024,0,60.4716,51.4559,20.8844,25.8186,59.5983,51.3321,58.6662,50.0821,3.585828,3.4301271,11
111,complex-planes,Intel Core i5-7500,1024,1,59.7472,52.4835,20.6299,25.338,59.9765,50.9702,57.1203,49.0122,3.5486488,3.522185,11
112,complex-planes,Intel Core i5-7500,1024,2,55.8828,51.6172,20.8874,25.9147,57.3224,50.4482,59.2315,48.7548,3.3164907,3.0434942,11
113,complex-planes,Intel Core i5-7500,1024,3,55.7836,52.0018,21.1051,25.9836,60.6829,49.7894,57.2223,49.8728,2.9357688,3.0657024,11
114,complex-planes,Intel Core i5-7500,1024,4,59.9262,51.7084,21.3692,26.7069,60.8232,51.326,59.538,50.4203,3.132555,3.3139987,11
115,complex-planes,Intel Core i5-7500,1024,5,58.5706,52.6338,22.8485,26.0932,59.8975,51.7748,59.7929,52.2963,3.6256733,2.6749442,11
116,complex-planes,Intel Core i5-7500,1024,6,59.2522,53.1192,21.0073,28.2136,60.4168,53.5381,59.7254,52.646,3.766565,2.144591,11
117,complex-planes,Intel Core i5-7500,1024,7,57.8838,55.0197,24.2951,29.4003,60.9816,53.5255,61.1322,52.451,3.5660968,2.0902689,11
118,complex-planes,Intel Core i5-7500,1024,8,57.2253,52.6901,22.5087,27.2973,60.5558,53.2609,60.1725,53.7874,3.3854153,2.321415,11
119,complex-planes,Intel Core i5-7500,1024,9,58.845,52.9989,24.2197,29.3407,59.9373,52.4687,57.6153,50.1085,3.1209896,1.6826665,11
120,complex-planes,Intel Core i5-7500,1024,10,60.9897,54.0646,24.1642,28.8467,62.2688,48.8911,61.2877,52.034,2.9451635,1.8288901,11
121,complex-planes,Intel Core i5-7500,2048,0,14.8622,13.0679,5.2924,6.4852,15.1192,13.1223,14.603,12.488,1.2392368,-0.8335899,12
122,complex-planes,Intel Core i5-7500,2048,1,15.4326,12.872,5.1755,6.4824,15.0432,13.1169,14.397,12.7771,0.91060376,-1.0498276,12
123,complex-planes,Intel Core i5-7500,2048,2,15.2877,13.0066,5.0062,6.1049,14.872,12.8114,13.7996,12.4807,1.1649982,-1.1752356,12
124,complex-planes,Intel Core i5-7500,2048,3,15.0033,12.4802,5.2852,6.6922,15.2928,12.7066,15.1055,12.0741,0.7768204,-1.124466,12
125,complex-planes,Intel Core i5-7500,2048,4,15.0985,13.089,5.4425,6.7051,14.9726,12.9748,14.644,13.0219,0.85330063,-1.1266485,12
