id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
107,complex-streamlines,Intel Core i5-7500,512,8,131.1054,90.5978,65.8467,70.3928,129.6228,72.5147,127.4064,91.7078,4.367597,4.2476687,10
108,complex-streamlines,Intel Core i5-7500,512,9,129.7874,94.9163,64.3915,69.4512,123.2034,89.815,126.4832,86.06,4.066291,3.938601,10
109,complex-streamlines,Intel Core i5-7500,512,10,117.4139,89.2969,61.768,66.7864,125.0413,87.7963,127.4754,82.661,4.282408,3.9615743,10
110,complex-streamlines,Intel Core i5-7500,1024,0,33.1251,24.4491,17.8619,17.8321,34.9039,25.3423,33.0173,23.4949,5.0147386,-0.23493679,11
111,complex-streamlines,Intel Core i5-7500,1024,1,34.3513,25.0669,17.4803,17.1976,34.8136,24.6004,29.7418,23.5803,4.8819304,0.19858743,11
112,complex-streamlines,Intel Core i5-7500,1024,2,33.1368,25.2644,17.1725,18.6149,33.8985,24.2881,30.4951,23.8773,5.0667562,0.8081451,11
113,complex-streamlines,Intel Core i5-7500,1024,3,33.5558,24.9253,17.2264,17.6243,33.4198,24.2582,31.4865,23.4822,4.948377,1.4308372,11
114,complex-streamlines,Intel Core i5-7500,1024,4,33.5279,25.1523,16.416,17.8891,33.6968,24.7479,31.7712,23.4281,4.7913656,1.8788246,11
115,complex-streamlines,Intel Core i5-7500,1024,5,33.6158,25.5019,17.3115,18.4605,33.0378,24.3013,32.3755,24.1631,4.6901703,1.7999763,11
116,complex-streamlines,Intel Core i5-7500,1024,6,34.6643,25.5946,17.5411,18.513,34.3599,24.9801,32.6289,24.4474,4.884315,2.294679,11
117,complex-streamlines,Intel Core i5-7500,1024,7,32.0963,23.8447,17.0819,18.3372,33.6205,23.1294,29.4422,23.6536,4.3314233,2.4201326,11
118,complex-streamlines,Intel Core i5-7500,1024,8,33.7786,24.623,17.0919,18.2467,31.184,23.7146,33.1708,23.4643,4.41127,2.8558733,11
119,complex-streamlines,Intel Core i5-7500,1024,9,31.0852,23.8174,16.5897,17.6694,32.0997,22.6362,30.4565,21.8978,4.01546,2.52121,11
120,complex-streamlines,Intel Core i5-7500,1024,10,32.6526,23.7128,16.5994,17.4866,31.8422,22.4099,32.1724,22.7753,4.422133,2.8418977,11
121,complex-streamlines,Intel Core i5-7500,2048,0,7.9913,6.339,4.3741,4.7166,8.5112,6.2655,8.1557,5.9671,-2.571357,-4.2256813,12
122,complex-streamlines,Intel Core i5-7500,2048,1,8.5438,6.454,4.4616,4.3112,8.414,6.3114,8.0892,5.9149,-2.2484648,-4.089285,12
123,complex-streamlines,Intel Core i5-7500,2048,2,8.4138,6.3243,4.3923,4.6282,8.3646,6.1511,7.8585,5.7943,-2.0453928,-4.083987,12
124,complex-streamlines,Intel Core i5-7500,2048,3,8.4675,6.1536,4.2229,4.6737,8.4545,6.1266,8.0088,5.5458,-1.7935784,-3.6573837,12
125,complex-streamlines,Intel Core i5-7500,2048,4,8.3557,5.7005,4.324,4.6462,8.1924,5.9781,7.9386,5.8373,-0.15397424,-3.5621696,12
126,complex-streamlines,Intel Core i5-7500,2048,5,8.3245,6.3178,4.4634,4.7019,8.4524,6.2364,8.2881,5.9471,0.79013455,-3.1912627,12
127,complex-streamlines,Intel Core i5-7500,2048,6,8.6207,6.3283,4.4931,4.7019,8.7659,6.1068,7.9415,6.2147,1.8246655,-3.0348012,12
128,complex-streamlines,Intel Core i5-7500,2048,7,8.4683,6.1262,4.4174,4.7786,8.6608,6.1331,8.2586,5.9849,2.270014,-3.0109317,12
129,complex-streamlines,Intel Core i5-7500,2048,8,8.2585,6.2747,3.9927,4.5181,8.4983,5.918,8.2468,5.9096,2.5348566,-2.2954986,12
130,complex-streamlines,Intel Core i5-7500,2048,9,8.4394,5.8489,4.1963,4.5277,8.3395,5.8665,8.234,5.8327,2.5615575,-2.122247,12
131,complex-streamlines,Intel Core i5-7500,2048,10,8.2163,5.8525,4.0454,4.4436,8.1621,5.7319,8.0726,5.6569,2.4165661,-2.8845844,12
132,complex-streamlines,Intel Core i7-8565U,512,0,125.0513,85.0564,62.4895,66.2396,119.4088,90.3808,118.6589,76.0092,3.8830285,4.677066,13
133,complex-streamlines,Intel Core i7-8565U,512,1,124.5268,69.5154,61.8708,58.9981,126.012,83.6589,119.757,85.1956,3.7244399,4.6912127,13
134,complex-streamlines,Intel Core i7-8565U,512,2,128.6546,77.2821,61.8387,57.7634,125.8924,84.117,118.6838,70.3136,3.8271303,4.6813965,13
135,complex-streamlines,Intel Core i7-8565U,512,3,107.1757,67.0071,40.3188,48.4004,119.7467,87.3019,107.5036,73.1657,3.7187884,4.6338034,13
136,complex-streamlines,Intel Core i7-8565U,512,4,121.0166,86.0119,52.239,63.9284,116.0373,87.8588,97.0101,76.7389,4.1419854,4.516062,13
137,complex-streamlines,Intel Core i7-8565U,512,5,116.0945,88.8202,58.5086,63.4317,115.2915,89.4318,121.762,67.0889,4.0502295,4.102325,13
138,complex-streamlines,Intel Core i7-8565U,512,6,124.1066,75.3875,59.3437,65.9083,125.9302,89.8901,128.1046,88.4619,3.9144456,4.233147,13
139,complex-streamlines,Intel Core i7-8565U,512,7,130.4495,92.3873,50.8704,61.2527,93.1932,88.836,111.2372,80.7918,3.7237144,4.2431107,13
140,complex-streamlines,Intel Core i7-8565U,512,8,118.7113,84.0456,59.0748,59.2452,125.7626,86.5913,123.3948,75.5127,4.3589187,4.3759937,13
141,complex-streamlines,Intel Core i7-8565U,512,9,115.5586,86.9308,44.415,61.9694,122.4291,83.6575,87.8997,80.1436,3.8697815,4.1434803,13
142,complex-streamlines,Intel Core i7-8565U,512,10,124.0502,85.076,57.0884,60.8661,110.0168,65.2818,108.7805,81.2797,4.0900774,4.0224133,13
143,complex-streamlines,Intel Core i7-8565U,1024,0,33.0947,23.3014,16.1001,15.3504,32.2916,21.0308,30.2797,21.8092,4.833583,-0.5974433,14
144,complex-streamlines,Intel Core i7-8565U,1024,1,33.3179,22.9346,16.07,10.9432,31.281,23.1522,23.6779,21.9861,4.7342234,-0.11758245,14
145,complex-streamlines,Intel Core i7-8565U,1024,2,33.1625,17.4452,15.9496,15.5574,32.4706,21.9102,30.5005,16.3798,5.0839,0.35666877,14
146,complex-streamlines,Intel Core i7-8565U,1024,3,32.664,23.693,15.1856,16.4789,32.4128,22.3212,29.4208,19.584,5.068528,1.0732756,14
147,complex-streamlines,Intel Core i7-8565U,1024,4,32.0158,23.553,15.1775,13.6284,30.6248,19.5872,30.5327,21.8082,4.9565005,1.5030339,14
148,complex-streamlines,Intel Core i7-8565U,1024,5,33.0303,17.797,14.7022,16.9011,32.6059,23.0528,31.0292,20.2156,4.7827873,1.4331237,14
149,complex-streamlines,Intel Core i7-8565U,1024,6,31.149,23.2942,16.0831,15.5816,32.641,22.9139,31.9876,22.6088,4.772545,2.0261235,14
150,complex-streamlines,Intel Core i7-8565U,1024,7,31.1728,20.261,13.8684,15.75,29.649,23.1355,31.9701,20.9729,4.600344,2.2343013,14
151,complex-streamlines,Intel Core i7-8565U,1024,8,32.4176,22.6424,14.4364,17.2476,31.9916,19.0564,26.6069,22.0696,4.6374226,2.9175606,14
152,complex-streamlines,Intel Core i7-8565U,1024,9,31.365,18.8292,13.8204,16.1614,31.5215,20.9404,31.0294,20.6891,4.163581,2.3962815,14
153,complex-streamlines,Intel Core i7-8565U,1024,10,31.5042,22.1081,14.794,15.776,28.8262,20.4392,28.528,20.7429,4.386598,2.6859443,14
154,complex-streamlines,Intel Core i7-8565U,2048,0,6.9602,6.1778,4.1208,4.3869,8.3869,5.0185,7.9282,5.721,-2.7516925,-4.1865387,15
155,complex-streamlines,Intel Core i7-8565U,2048,1,6.5883,6.1129,3.6843,4.2421,7.6061,5.4864,6.9579,5.6126,-2.6183197,-4.1420803,15
156,complex-streamlines,Intel Core i7-8565U,2048,2,8.4051,6.0177,3.1212,4.0318,7.2374,5.835,7.7029,5.4775,-2.3000584,-3.9596581,15
157,complex-streamlines,Intel Core i7-8565U,2048,3,8.2626,5.9735,3.4859,4.2026,8.1665,5.6475,7.5242,5.2577,-1.8934486,-3.7143362,15
158,complex-streamlines,Intel Core i7-8565U,2048,4,8.1603,5.7896,4.0306,3.8649,8.0316,5.8458,7.2602,5.5567,-0.51014644,-3.5843852,15
159,complex-streamlines,Intel Core i7-8565U,2048,5,7.0879,6.099,4.0592,4.2776,8.2244,5.8767,7.5708,4.9502,0.44176617,-3.481797,15
